LOC100693400	LG8_24:5686064-5688370
LOC102082894	LG20:24559990-24562859
LOC102079199	LG16_21:11392693-11445185
LOC100702763	UNK49:317641-328955
LOC100712232	UNK50:1013219-1026212
LOC100709548	LG14:23444237-23453026
LOC102080532	UNK58:295925-298196
LOC100695458	UNK753:2619-5851
LOC100690049	LG16_21:25183876-25239462
LOC100697081	LG11:18357772-18368049
LOC100710250	LG22:23437892-23463660
LOC100694564	UNK140:385978-396639
LOC100709858	LG5:16701941-16726318
LOC100695318	LG16_21:9744099-9754557
LOC100699160	LG16_21:3196736-3197461
LOC100691010	LG19:20496595-20522604
LOC100700962	LG3:14477279-14479594
LOC100707305	UNK11:1614415-1657388
LOC100698779	LG8_24:29382907-29398679
LOC100693640	LG1:15744683-15759267
LOC100704880	LG15:5493823-5538041
LOC102081091	UNK676:5601-8971
LOC100694864	LG20:121311-124394
LOC100699782	LG15:9192830-9227458
LOC100698752	LG19:10609945-10612418
LOC100699485	LG18:19033865-19036553
LOC102080979	UNK2919:26-1206
LOC102079439	LG11:26988734-26991803
LOC100709374	UNK40:1005774-1088945
LOC100692302	LG18:24764485-24981940
LOC102081538	LG6:3869330-3879553
LOC100694009	UNK81:383049-384245
LOC100701221	UNK27:65125-75225
LOC100704876	LG17:28554325-28558586
LOC102077174	UNK193:44748-45808
LOC100707103	LG11:16274909-16291266
LOC102077412,LOC100705639,LOC100706071	UNK89:623936-650029
LOC100697717	LG11:9572823-9576392
LOC100703563	UNK18:404083-411537
LOC100703110	UNK43:620324-630691
LOC100708032	UNK103:599516-627853
ccdc147	LG10:1502782-1523651
LOC100691455	LG4:13072993-13082710
LOC100697455	LG20:16290912-16311233
LOC100703374	LG16_21:27839476-27843655
LOC102079173	UNK77:567292-570395
LOC100697429	LG5:24361538-24375688
LOC100689810	LG1:18113873-18117412
LOC100696371	LG6:23479903-23497271
LOC102080300	LG14:20150380-20175416
LOC100712246	LG13:1567425-1576171
LOC102082765	UNK8:2114665-2116808
LOC100696728	UNK5:846554-853923
LOC100711655	LG15:1633849-1670621
LOC100709061	LG2:10503979-10555231
LOC100696024	LG23:10353359-10354632
LOC102077717	LG20:391049-394000
LOC100690634	LG8_24:14375056-14379404
LOC100699435	LG20:17798474-17820509
LOC100709360	LG6:25940238-25958253
LOC100699313,LOC100699763	LG17:24681411-24711604
LOC100710881	UNK37:1148144-1170320
LOC100701251	UNK822:271-8062
LOC102080223	LG5:23820186-23821914
LOC100694853	LG9:5896526-5901511
LOC100711000	LG9:11597621-11608711
LOC102077514	UNK153:48484-49449
LOC100689878	LG18:2509972-2514462
LOC102082693,LOC102082618	UNK275:111465-167605
LOC102079811	UNK148:18205-31007
LOC100693373	LG12:12032534-12041365
LOC100712535	LG5:8773742-8777400
LOC100704286	LG14:20837627-20841805
LOC100706639	LG4:6304908-6310676
fbn1	LG1:3807609-3869465
LOC100693428	LG9:6370856-6414115
ER	LG15:14582198-14593116
LOC100703014	UNK10:1806790-1821533
LOC102080789	LG3:6980572-6991344
slit2	LG6:18417710-18515783
soat1	LG23:18951798-18959679
LOC102078961	UNK20:1086024-1089086
LOC100704836	UNK69:459595-461538
LOC100707604	LG5:13233079-13235781
LOC100692973	LG20:29945557-29949384
LOC100707099	LG15:16375985-16398183
LOC100699194	LG4:25877389-25904178
LOC100691866	LG9:13013278-13020432
LOC100700584	UNK12:106530-120594
LOC100703358	LG10:5496375-5556276
LOC102077924	LG16_21:27713937-27715277
LOC102083292	UNK93:93491-95202
LOC100694360	LG16_21:12943584-12950918
LOC100703165	LG12:21492685-21496466
LOC100700810	LG5:10249955-10269882
lats1	LG15:4091601-4101690
LOC102078054	UNK378:17225-18498
LOC100705672	LG11:9925514-9939414
LOC102080234	UNK75:846840-885042
LOC100696801	LG16_21:15449064-15455734
LOC100705386	LG20:11292982-11315546
LOC100692475	LG11:9548539-9558106
LOC102078254,LOC102078162	LG17:4741165-4744781
LOC102076666	UNK5542:18-1019
LOC100690299	UNK5:2832552-2854582
LOC100706015	LG19:13486426-13492438
LOC102081463	UNK260:4287-26657
LOC100710880	LG14:23564977-23571054
LOC100707185	LG10:11052634-11056196
LOC100708555	LG14:21120537-21124501
LOC102078816	UNK147:19330-30991
LOC100711328	UNK14:462449-478731
LOC102076759	LG11:13936561-13958482
LOC100707016	LG2:23263036-23275394
LOC100706676,LOC100703460	LG6:16567152-16592466
LOC100712584	UNK48:1121857-1146768
LOC100534512	UNK3:663160-692928
LOC100693625	LG16_21:6489100-6490080
LOC102078903	UNK57:325590-327559
LOC102080835	LG18:16664529-16667996
LOC100704897	LG12:22386222-22399113
LOC102079082	UNK394:118917-121913
LOC100695872	UNK30:665104-766767
LOC100704388	UNK148:86779-108824
LOC102077137	UNK123:479986-483418
LOC100703602	LG4:9781132-9784139
LOC100709371	LG13:6347670-6348613
LOC100703098	LG4:1531908-1541954
LOC102076331	UNK49:714234-727333
LOC100702388	UNK21:375105-375979
LOC100690271	LG4:22909772-22964306
rps6ka5	LG19:7388800-7411302
LOC102078407	LG6:17293125-17298264
LOC100696058	UNK423:33508-96906
kcnj5	LG14:11187295-11211766
LOC102082798	LG7:32193126-32194921
LOC100693363	LG11:21702304-21707546
gpr133	LG12:8419708-8451971
LOC100703531	LG1:4852740-4859505
LOC102078723	LG5:22740051-22767992
LOC100700184	LG22:13333336-13335671
LOC100693013	UNK12:2264880-2275467
LOC100693894	LG1:828054-861989
LOC100692312	LG8_24:5227860-5230471
LOC102080504	UNK295:72165-79936
